video_id,text
Zq2e5w2tSI0,you have to like when there's a guycoming right in your face and he justsits in there and delivers it uh reallywellon dak prescott he starts to come andthen he pulls out and he's got guyscoming down his face feeling is thecowboys probably coming right down theirthroatsgood job getting rid of that footballwith that guy coming right in his faceyeah i've rubbed up quite a few balls inmy lifesure was a good learning experiencejokicaround the corner sweeping hook shot isbeautiful we haven't seen that in awhilea splendid serbian hookershot from right there 62-42yeah i was on the field watchingmayfield he's got a gun controversialsny that is a 25 hot dog folksdo you need a knife and 14my goodnesshow much meat is in a 25 hot dogi mean a few pounds righti wasn't talking about the hot dogi like ashorter thicker hot dogthat one is a little long and skinny formy liking[Applause]you realize there's nothing i can say atthis point that's going to make this anybetter no you know what i it didn't haveonions eitherokay yeah
GPZfEpyPGUw,"Now, let's continue with some horseracing now because Money Market returnedto winning ways in landing the secondrunning of the Gregory Park Sprint andopen allowance contest for 3-year-oldand up going five furlongs round atCaymanas Park on Saturday. The 92 choicein a well-timed run got the better of a4-5 favorite She's That Girl in sloppyunderfoot conditions at Caymanas Park.The game The Gary Subratie conditioned6-year-old bay horse Money Market withformer champion jockey Dane Dawkinsaboard one in 1 minute and done fifthsby two and three quarter of a length.She's That Girl drifting down toward therail. Money Market kicking in on theoutside and Money Market now may havethat lead over She's That Girlcontinuing the fight. Zulu Warrior isover against the rail. Wall StreetTrader has a lot to find, but MoneyMarket has now taken charge. On the runpassing the 16th pole, it's devastatingDane Dawkins and Money Market.Devastating Dane will have his third winon the card. She's That Girl is second.Zulu Warrior is third. Fourth goes toWall Street Trader.Meanwhile, Feeling Free landed theco-feature Grooms Association of JamaicaTrophy, a restricted allowance forcontest going over the five straightcourse.>> Strong Mind, this is where the racelies. The rest are toiling behind.Summer Palace needs to get going, butStrong Mind coming over to the far railwith that lead. Margarita is rightthere, too. This is where the race lies.They're coming inside the final furlong.Strong Mind and Margarita also trying toget to them. That's Feeling Free, butStrong Mind still in front. Feeling Freeis closing fast and furious and maybeFeeling Free in time.Beating Strong Mind. Margarita is next,then comes El Maserati and maybe Bankerand back in fifth.Racing continues on Sunday with the 17thrunning of the King's Plate. First postfor the nine-race card is noon."
A4Iw8--yHsk,"And where else but to the NationalStadium where Shanoya Douglas of HollandHigh School produced a stunningperformance to win the girls class 1 200meters in a new national under 20 recordon the final day of the ISSA/GraceKennedy Boys and Girls Championshipsat the National Stadium. Now, DennisWalters is at the stadium and filed thisreport.World under 20 200 meters bronzemedalist Shanoya Douglas of Holland Highbettered the previous national juniorrecord of 22.50 seconds set by BrianaWilliams in 2018 and Briana Lyston'sChamps record of 22.53set in 2022, clocking 22.36 seconds towin the girls class 1 200 meters.Douglas, the 100 meters champion,dominated the field to secure gold,leading home Edwin Allen's Alex Henryand Shenika Casanova. Sanjay Seymour ofWilliam Knibb won the boys equivalent in21.14ahead of JC's Michael Anthony Woods andKC's Kyle Bowen. 400 meters recordholder Jason Peter of KC did the class 2boys 400 double, winning in 21.03,while Wolmer's girls Natreece East didthe sprint double after capturing thegirls class 2 200 meters in 23.54.Meanwhile, Hydel's Robert Millercaptured the boys class 1 110 meterhurdles title. Miller, who fell in theclass 1 400 meter hurdles final,redeemed himself, clocking 13.41.Now, after breaking the record in thesemi's, St. Jago's Mark Paige also hadredemption following hisdisqualification in the class 2 100meters final. Paige won the boys class 2110 meter hurdles in 13.06 seconds. Onthe girls side, record holder TinaMarshall of Wolmer's girlswon the class 1 100 meter hurdles in13.33,while another Wolmer's girl,Aneisha McBean, class 2 equivalent in13.32.Julius Toba collected another record atChamps, this time in the boys class 3800 meters with a time of 1 minute57.52.And over in the field, Edison James ofEdwin Allen set a new record in the boysjavelin open with a throw of 70.30meters. I am Dennis Walters reportingfrom the National Stadium for TVJSports.Thank you so much Dennis for that verycomprehensive report from the NationalStadium. Meanwhile, five records werebroken and one equaled, four of themcoming across hurdles events on day fourof the championships at the NationalStadium. Details in this report.Three of the records came in the sprinthurdles before Excelsior High's JadenCampbell ran a meet record and personalbest 50.87 seconds to win the boys class2 400 meter hurdles, a world under 18lead.Hydel High's Kavion Maynor was secondand Gregory Williams of JC ended inthird.The class 1 title went to KC's DevaniTerrell, who won in a personal best50.63,besting JC's Rojay Blake and last year'sgold medalist of Excelsior High, KishawnHuffman. Hydel High's Nastacia Fletcherran a world under 20 leading andpersonal best 56.70to win the girls open 400 meter hurdles,exacting revenge on Edwin Allen'sKelly-Ann Carr, who defeated her in theflat 400 on Thursday, while Hydel'sAliyah Mullins was a third. SushanaJohnson won the girls 2000 meterssteeplechase in 7 minutes and 04 secondsto lead an Edwin Allen 1-2 with BrianaMorris second and Shevelle White ofAlphonso Davis third. It was a similarresult for Jamaica College in the boysequivalent, Evan Stetic claiming goldand Dominic Thompson finishing secondwith Bellefield's Javon Henry endingthird. Over in the field, Michael AndreEdwards of JC picked up his second goldmedal, adding the class 1 boys triplejump title to his long jump triumph,leaping a personal best 16.52 meters.Amani Phillips of KC and AntonioAnderson of Calabar were second andthird respectively.>> [music]"
kS_FGvX-53A,"[music][laughter]SO JAMAICA'S REGULAR GIRLS ARE CURRENTLYIN PURSUIT OF A THIRD CONSECUTIVE SENIORWORLD CUP QUALIFICATION. BUT IN GIVINGCREDIT TO THE GIRLS FOR CONTINUING TOHANDLE THEIR BUSINESS. FOR CONTEXT, WEMUST ACCEPT AND UNDERSTAND THAT WORLDCUP QUALIFICATION FOR THE WOMEN CANNOTBE COMPARED TO WORLD CUP QUALIFICATIONFOR THE MEN. WHILE THE USA AND CANADA ASPOWERHOUSES IN THE WOMEN'S GAME ARERIGHT HERE IN CONQUER CUFF. AFTER THAT,JAMAICA IS PROBABLY THE NEXT BEST TEAMIN THE REGION WHERE THE WOMEN'S FOOTBALLGAME IS STILL A WORK IN PROGRESS. WHILEIN MEN'S FOOTBALL, MEXICO AND USA ARETOPS. AND THEN YOU HAVE ABOUT FIVE ORSIX TOP TOUGH CENTRAL AMERICAN TEAMS.THERE IS CANADA AND THEN A SLEW OFIMPROVING Caribbean teams includingJamaica. ALL OF THEM CHOING AT THE BITS.BUT EVEN WHILE THINGS ARE NOT EQUAL, WESTILL SAY BIG UP TO THE REGGAE GIRLSGOING FOR THREE STRAIGHT WHILE THE REGBOYS [laughter] THEM STILL AWAKE."
HqG9C00jPFw,"[music][laughter]SO THE CHAIRMAN OF THE JF'S TECHNICALCOMMITTEE AND THE RECENT ADVISOR TO THERECENT REGGA BOYS COACH STEVE MCLAREN,MR. RUD SPEED IS NOW OFFICIALLY THEINTERIM HEAD COACH OF THE REGGA BOYSSPECIFICALLY FOR THE CRUCIAL WORLD CUPQUALIFYING PLAYOFFS COMING UP NEXTMARCH. AND ALL HELL IS BREAKING LOOSE inlocal football. ALL ON SUNDRY EXCEPT MR.SPEED AND HIS FAMILY ARE SAYING IT ISWRONG. MR. SPEED HIRED HIMSELF. HE WAS APART OF THE SYSTEM. IT'S A CONFLICT OFINTEREST AND BLAH BLAH [laughter] BLAH.MY TAKE IS THAT YES, MR. SPEED WAS VERYMUCH A PART OF THE PROCESS. HE HIRED THECOACH. HE STUCK BY THE COACH AND IN THEEND ADVISED THE COACH TO THEEMBARRASSING POINT OF FAILURE. NOW THISSITUATION IS FAR FROM PERFECT. BUT AGAINTHIS IS NOT A NEW CAMPAIGN. It isMAXIMUM TWO GAMES. SO IN THE INTEREST OFCONTINUITY MR. SPEED PUT UP HAND AND SAYYES THEY'VE FUMBLED BUT HE WANTS ACHANCE TO FIX IT. NOW IF HIM DON'T FIXIT THEN THE MAVERICK WILL SHOW HIM[laughter] THE EXIT.>> [music]"
T4YRftPMWxs,so the big blockbuster trade that hasset tongues wagging in the basketballWorld Luca dunic is now in Los Angelesas a Laker while Anthony Davis is now inDallas as aMaverick people still trying to rraptheir minds around it but for me it'spretty simple Dallas got fed up with thefitness issue isues with Luca anddecided not to gamble with a300 plusmillion do max deal they decided to letLuca go they identified Anthony Davis asa Target and initiated contact with theLos Angeles Lakers the Luca capture wastoo hard for the Lakers to resist sothey identified and accepted the 25year-old Superstar as the future of theLakers franchise beyond the now 40y oldLeBron James as to who got the better ofthis trade put it this way the DallasMavericks with ad Kyrie clay and Companycan compete for a title now while an outof shape Luca and a 40-year-old LeBronJames will carry too much defensiveliability for the Lakers to compete asis simple ABC what's the issue it's theissueh[Music]
jnYVKZRyY9k,uh Queen E5 by the way yeah Knight takesRook wait isn't that French isn't thatlike the predecessor to the uh to thebourbon Dynasty or am I wrong QueenF6 uh B to Bishop toG5 isn't that like the French housebefore the before the Bourbonsholy that is a disgusting move am Iright or am I wrong chat can tell me amI wrong I don't know they're all justspamming stuffhg5 um Queen H5 check Queen to E8 premoove Bishop to G8 pre Bishop F7 premoove Queen G8 Checkmate premoove that'sgross that's gross you did it the longway too you had a shorter way no I didnot have a shorter way L cuz he King H6thank you very much is that verse okayWikipedia lied I just Googled it andWikipedia said that's like the nationalanthem let's take the pawntake the pawn I'm going to go herehere all right let's keep going we winthegame uh G takes H3 sorry excuse me whathe played G takes H3 uh Bishop takes F3check Queen H3 prum move Queen G2 Chuckmate that's sounnecessary I knew you were going to doit too flexing the pin and thenthere we go next game let's keep rollingthere we go Techmate oh sheesh tough game one more let'ssee I'll play A6 prevent him from fromuh going to B5 I'll throw in a check Iwill take check let's see if I can howhow close I can get to amate let's see can I get itoh voila I didn't even have to make anymoves how will he put the finishingtouches on I want to play a move likeRook f8 just for aesthetic reasons eventhough it's probably not very goodwhoa que5 even better take the queenplease take the queen oh that's so sicklook at that Checkmate the Knight ispinned that is just gorgeous what afinishing touch[Music]
Io1ZL0rc2Ac,"All of his life, he tried to behave,but all his calm was never meant to stay. I feel my heart running fast to the beat. Waking up the other side of me. So I just let it go.  There's nothing I can do but to breatheand give in to the heat. And I feel so alive when I'm losing control. Step aside, I'm about to explode. Feel the bass in my heart that is made of steel. And I know, I'm gonna be the one to break it all. I don't wanna break it, don't wanna break it all. The beat says yeah, the beat says yeah. I don't wanna wreck it. Don't wanna lose control. The beat says yeah, the beat says yeah. I don't wanna break it, don't wanna break it all. The beat says yeah, the beat says yeah. I don't wanna wreck it, don't wanna lose control. The beat says yeah, the beat says yeah. Never give up, never give in. Ready to fight when the beat is kicking in. Deep in my heart, under my skin,I feel the rage, cannot hold it in. I knock you back and trap you inside. This is Madevil Manor, you got nowhere to hide. I am born to own the stage,but when the bass is kicking in, I will never be the same. I don't wanna break it, don't wanna break it all. The beat says yeah, the beat says yeah. I don't wanna wreck it, don't wanna lose control. The beat says yeah, the beat says yeah. Never give up, never give in. Ready to fight when the beat is kicking in. Deep in my heart, under my skin. I feel the rage, cannot hold it in. And when I'm hiding in the dark,I can feel my pounding heart. I wanna shut it down for once,but it keeps on beating. You know what's up, you can't escape. I'm gonna break it down in a total rage. My metal heart, is hypercharged. This is what keeps me alive. This is when I lose control.  Brawl. Watch out!It ain't stopping now. I can't hold it anymore. The beat is dropping, it ain't stopping, yeah. It's a part of me now.  This is what keeps me alive. Never give up, never give in. Ready to fight when the beat is kicking in. Never give up, never give in. Ready to fight when the beat is kicking in. Deep in my heart, under my skin. I feel the rage, cannot hold it in. Now, I can't hold it anymore. It ain't stopping.  "
jvZSGqwIJmg,"We really tried hard to keep to the core things of God of War, of. . . start off the game for Sons of Sparta killing a cyclops, ripping his eye out. You know, we really want to make it feel right at home for the fanslike right at the very start of the game. God of War to this pointhas lived in the 3D space. So bringing that experience, that combat,that engaging, fluid movementinto a 2D space took a lot of work and planning,but Mega Cat brought that plan to us from the get go. One of the considerations that we had whentranslating a 3D action series into 2Dwas how the combat would flow smoothlybecause you're taking something from a 3D plane and thenlimiting it to just 2D, two planes. Some of the animations are taken directly from legacy God of War games,and we have developed a special tool to essentiallytake the animations from those and then convert them to 2D sprite sheets. We send it off to our pixel team to essentially draw over with pixelsto create those animations. Players will definitely seesome of the old classics like wraiths,minotaurs,gorgons. If you've ever seen any of these creatures fromthe legacy God of War gamesyou'll get to see them in thisnew, reimagined way. We wanted to bring in a lot of new enemies to the game too,but still kind of keep things to that classic Greek feel to it all. So one of my personal favorites we brought in was the lampades enemy. It's a three-bodied woman that's kind offloating on a spiral thing that shoots out fire at the player. The God of War franchise has alwaysbeen known for its larger than lifeboss battles against Greek monstersfrom myth and lore. And we've been able to create some lost legendsthat people may not be familiar withand bring them to life in ways that pixel art's never been done before. The most important things to keep from God of War for this gamehas been making sure that Kratos is fun to play. That Kratos feels cool to move around, and has great visualsaccompanying with each attack that hits hard, hits fast, and is fun. Kratos' base kit in Sons of Sparta is all about a Spartan training. It's all about the Spartan weapons, the spear and shield,and how he uses those in combat. Throughout the game, though, you begin tostart attaching things to your spearand start attaching things to your shield. Then you start to discover that there's these magical elements. Animation is very importantto having satisfying combat. I think really sellingthe blow of an axe,we see that spear go through the enemy,the feeling of the combat and really feeling like Kratos. The system that I lovethe most about the gameis definitely the sub-weapon systemand how it is tied to the gods, and how it's incorporatedinto the combat system is very much my favorite thing. Through each Olympian giftNot only are you unlocking a rangeof abilities augmented by the giftfrom the respective Olympian god, but you're also using it to your advantageto bolster your strength to defeat these monstersin a just absolutely stunning way. Between all these old enemies and these new enemiesand these themes of the game of, you know, this coming of age,we have a wide variety of things for you to fight and kill and challenge you. Don't be afraid to use all of your weapons to just mess with the world. There's a lot of interactable things. If you think something look suspicious, just give it a shot,it might be something interesting. Expect a lot of hidden boss fightsthat you might not think to look for. Sons of Sparta has it all for you. We have everything you'd expect as far as exploration and combat,but now it's attached to this unbelievable IP and this story element. If you're new to the God of War series, this is a prequel this is where it all starts,so it's the perfect entry point. Everything you love about the God of War experience is here in this game. That's a lot to do with Mega Cat taking all of those main points to heart. Is there incredible combat? Yes. Is the narrative strong throughout and makes you feel something? Yes. And finally, is the world around you one that you can get lost in? Yes. It is a God of War game through and through and one you are going to love.  "
CgN2aGoIxaw,here 10 free Steam games with theoverwhelmingly positive steam rating inunder 60 seconds number one is bloodspear an action adventure game where youplay as a demonic spear number two isgrim hook an action platformer where younavigate through flooded Caverns numberthree is outpath first journey a basebuilding game where you craft gatherresources and build your base numberfour is Shadow burglar where you play asa thief with a mystical Power numberfive is Jaded where you fight your waythrough mountains and forests number sixis red hot Vengeance a top down shooterwhere you play as a mob Hitman numberseven is Tag the power paint a platformgame where you use a paint to altersurfaces and solve puzzles number eightis handshakes at puzzle game where youguide two hands through various puzzlesto achieve a handshake number nine isalpaca stacka an adventure game whereyou plays an alpaca dedicated to helpingtheir friends and lastly is pineapple onPizza an exploration game where youexplore an Island full of dancing people
